"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_ELEICAO";"SQ_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_NACIONALIDADE";"DS_NACIONALIDADE";"CD_MUNICIPIO_NASCIMENTO";"NM_MUNICIPIO_NASCIMENTO";"NR_IDADE_DATA_POSSE";"ST_QUILOMBOLA";"CD_ETNIA_INDIGENA";"DS_ETNIA_INDIGENA";"VR_DESPESA_MAX_CAMPANHA";"ST_REELEICAO";"ST_DECLARAR_BENS";"NR_PROTOCOLO_CANDIDATURA";"NR_PROCESSO";"CD_SITUACAO_CANDIDATO_PLEITO";"DS_SITUACAO_CANDIDATO_PLEITO";"CD_SITUACAO_CANDIDATO_URNA";"DS_SITUACAO_CANDIDATO_URNA";"ST_CANDIDATO_INSERIDO_URNA";"NM_TIPO_DESTINACAO_VOTOS";"CD_SITUACAO_CANDIDATO_TOT";"DS_SITUACAO_CANDIDATO_TOT";"ST_PREST_CONTAS";"ST_SUBSTITUIDO";"SQ_SUBSTITUIDO";"SQ_ORDEM_SUPLENCIA";"DT_ACEITE_CANDIDATURA";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_JULGAMENTO_PLEITO";"DS_SITUACAO_JULGAMENTO_PLEITO";"CD_SITUACAO_JULGAMENTO_URNA";"DS_SITUACAO_JULGAMENTO_URNA";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_CASSACAO_MIDIA";"DS_SITUACAO_CASSACAO_MIDIA";"CD_SITUACAO_DIPLOMA";"DS_SITUACAO_DIPLOMA";"CD_GENERO_FEFC";"DS_GENERO_FEFC";"CD_COR_RACA_FEFC";"DS_COR_RACA_FEFC"
"12/09/2026";"19:31:30";2026;6259;10002538355;-3;"#NE";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"59";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06003291920266010000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-05 15:38:41";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;70002533396;-3;"#NE";1;"BRASILEIRA NATA";-3;"BRASÍLIA";"37";"N";0;"NÃO INFORMADO";"1270629.01";"#NE";"S";"-1";"06003148220266070000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-07-29 17:21:27";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6259;10002535804;-3;"#NE";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"67";"N";-1;"#NULO";"3176572.53";"#NE";"S";"-1";"06003075820266010000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-03 20:33:28";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;50002543999;-3;"#NE";1;"BRASILEIRA NATA";-3;"CACHOEIRA";"63";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06015165120266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-10 08:00:15";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6259;10002545667;-3;"#NE";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"27";"N";-1;"#NULO";"3176572.53";"#NE";"S";"-1";"06004703820266010000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-11 08:41:48";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;50002554210;-3;"#NE";1;"BRASILEIRA NATA";-3;"JEQUIÉ";"58";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06017997420266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-26 09:01:53";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";"-1";"#NULO"
"12/09/2026";"19:31:30";2026;6259;40002551311;-3;"#NE";1;"BRASILEIRA NATA";-3;"SÃO GABRIEL DA CACHOEIRA";"42";"N";69;"BARÉ";"1270629.01";"#NE";"S";"-1";"06007728320266040000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-14 09:09:58";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"5";"INDÍGENA"
"12/09/2026";"19:31:30";2026;6259;30002551388;-3;"#NE";1;"BRASILEIRA NATA";-3;"MACAPÁ";"48";"N";0;"NÃO INFORMADO";"3557761.23";"#NE";"N";"-1";"06005175520266030000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-15 07:36:15";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6257;280002552484;-3;"#NE";1;"BRASILEIRA NATA";-3;"CUIABÁ";"39";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06015766220266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-15 08:52:50";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6257;280002551975;-3;"#NE";1;"BRASILEIRA NATA";-3;"PEDREIRAS";"76";"N";-1;"#NULO";"88944030.8";"#NE";"S";"-1";"06015471220266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-14 11:47:36";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
