"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Federacao";13;"PT";"PT";2;"FE BRASIL";"PT/PCdoB/PV";"";70000000001;"FEDERACAO";"FE";"N";0;0;0;1100;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";22;"PL";"PL";0;"";"";"";70000000002;"COLIGACAO";"PL";"N";0;0;0;1600;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;3;"Governador";"Federacao";13;"PT";"PT";2;"FE BRASIL";"PT/PCdoB/PV";"";70000000003;"FEDERACAO";"FE";"N";0;0;0;1200;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;3;"Governador";"Coligacao";22;"PL";"PL";0;"";"";"";70000000004;"COLIGACAO";"PL";"N";0;0;0;1500;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";2;1;"Presidente";"Federacao";13;"PT";"PT";2;"FE BRASIL";"PT/PCdoB/PV";"";70000000001;"FEDERACAO";"FE";"N";0;0;0;980;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";1;546;"Eleicoes 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";2;1;"Presidente";"Coligacao";22;"PL";"PL";0;"";"";"";70000000002;"COLIGACAO";"PL";"N";0;0;0;1450;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";2;546;"Eleicoes 2022";"30/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Federacao";13;"PT";"PT";2;"FE BRASIL";"PT/PCdoB/PV";"";70000000001;"FEDERACAO";"FE";"N";0;0;0;1300;0;0
"01/01/2023";"00:00:00";2022;2;"Eleicao Ordinaria";2;546;"Eleicoes 2022";"30/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";22;"PL";"PL";0;"";"";"";70000000002;"COLIGACAO";"PL";"N";0;0;0;1700;0;0
"01/01/2019";"00:00:00";2018;2;"Eleicao Ordinaria";1;297;"Eleicoes 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";13;"PT";"PT";0;"";"";"";70000000005;"COLIGACAO";"PT";"N";0;0;0;900;0;0
"01/01/2019";"00:00:00";2018;2;"Eleicao Ordinaria";1;297;"Eleicoes 2018";"07/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";17;"PSL";"PSL";0;"";"";"";70000000006;"COLIGACAO";"PSL";"N";0;0;0;1400;0;0
"01/01/2019";"00:00:00";2018;2;"Eleicao Ordinaria";2;297;"Eleicoes 2018";"28/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";13;"PT";"PT";0;"";"";"";70000000005;"COLIGACAO";"PT";"N";0;0;0;1000;0;0
"01/01/2019";"00:00:00";2018;2;"Eleicao Ordinaria";2;297;"Eleicoes 2018";"28/10/2018";"E";"DF";"DF";"DISTRITO FEDERAL";97012;"BRASILIA";1;1;"Presidente";"Coligacao";17;"PSL";"PSL";0;"";"";"";70000000006;"COLIGACAO";"PSL";"N";0;0;0;1800;0;0
